redemption_fee,gross_backing_coins,net_coins,spot_net_MON,executable_MON_excluding_swap_fee,average_execution_discount_percent,fee_only_break_even_percent
0,20000,20000,5.00000,4.99375780274656679151061173533083645443196004994,0.124843945068664169787765293383270911360799001200,0
0,1000000,1000000,250.00000,235.294117647058823529411764705882352941176470588,5.88235294117647058823529411764705882352941176480,0
0,10000000,10000000,2500.00000,1538.46153846153846153846153846153846153846153846,38.4615384615384615384615384615384615384615384616,0
0,40000000,40000000,10000.00000,2857.14285714285714285714285714285714285714285714,71.4285714285714285714285714285714285714285714286,0
0.01,20000,19800.00,4.9500000,4.94388194609171150701007503214771719996504325897,0.123597048652292787675251875803692929999126081400,1.01010101010101010101010101010101010101010101000
0.01,1000000,990000.00,247.5000000,233.078281341965862271924661565626839317245438493,5.82695703354914655679811653914067098293113596240,1.01010101010101010101010101010101010101010101000
0.01,10000000,9900000.00,2475.0000000,1528.95752895752895752895752895752895752895752896,38.2239382239382239382239382239382239382239382238,1.01010101010101010101010101010101010101010101000
0.01,40000000,39600000.00,9900.0000000,2848.92086330935251798561151079136690647482014388,71.2230215827338129496402877697841726618705035972,1.01010101010101010101010101010101010101010101000
0.02,20000,19600.00,4.9000000,4.89400484406601912656995180903393343154635571425,0.122350121101650478164248795225848335788658892900,2.04081632653061224489795918367346938775510204100
0.02,1000000,980000.00,245.0000000,230.859835100117785630153121319199057714958775029,5.77149587750294464075382803297997644287396937590,2.04081632653061224489795918367346938775510204100
0.02,10000000,9800000.00,2450.0000000,1519.37984496124031007751937984496124031007751938,37.9844961240310077519379844961240310077519379845,2.04081632653061224489795918367346938775510204100
0.02,40000000,39200000.00,9800.0000000,2840.57971014492753623188405797101449275362318841,71.0144927536231884057971014492753623188405797101,2.04081632653061224489795918367346938775510204100
0.05,20000,19000.00,4.7500000,4.74436606529745926712029465010300268431237904988,0.118609151632436481678007366252575067107809476200,5.26315789473684210526315789473684210526315789500
0.05,1000000,950000.00,237.5000000,224.188790560471976401179941002949852507374631268,5.60471976401179941002949852507374631268436578190,5.26315789473684210526315789473684210526315789500
0.05,10000000,9500000.00,2375.0000000,1490.19607843137254901960784313725490196078431373,37.2549019607843137254901960784313725490196078429,5.26315789473684210526315789473684210526315789500
0.05,40000000,38000000.00,9500.0000000,2814.81481481481481481481481481481481481481481481,70.3703703703703703703703703703703703703703703704,5.26315789473684210526315789473684210526315789500
